#{"t_start": 1721926562.0194411, "env_id": "None"}
r,d_r,l,t
2396.537848,2617.530241,8000,39674.168557
-2440.703165,-10478.285598,8000,39828.827083
2448.632999,-394.26434,8000,39984.174161
113.761622,2694.92686,8000,40132.386482
-2361.036956,1887.067135,8000,40270.547572
2364.661763,-6493.574495,8000,40410.826066
-5327.653888,2630.057019,8000,40563.270887
2660.648874,2597.624488,8000,40712.719983
2660.045341,-2458.823124,8000,40867.603884
2481.114964,-435.813459,8000,40991.115493
-206.336087,451.131246,1138,41002.172863
-3656.855575,-5889.211378,8000,41151.912859
-1024.341645,620.538401,1743,41167.083102
161.104106,-1211.828618,2936,41193.103539
1623.839454,-9628.82261,7986,41345.335437
-2105.435585,-10801.497823,8000,41491.135005
-6030.441023,-4768.199729,8000,41626.358741
-4677.535323,-1994.690017,8000,41780.261194
2670.961533,2557.502855,8000,41934.227438
2055.249516,2502.750346,8000,42080.507693
-5249.04085,-6291.371241,8000,42235.036382
2497.970231,2388.69925,8000,42385.242878
-2801.895466,2571.124479,8000,42538.876598
-5699.358982,-8774.103693,8000,42679.846894
1163.559304,-3323.592835,8000,42833.047332
2400.322884,-918.563546,8000,42982.33274
-5280.843312,-9074.533921,8000,43131.086039
-5196.138932,-2227.394423,8000,43281.601692
-1190.651558,-4367.766187,7835,43432.314495
2760.939246,-1098.939432,8000,43584.912528
-333.196505,-5929.688416,8000,43737.681467
-4736.627183,-3801.447669,8000,43889.24201
2534.555414,-3137.149698,8000,44036.520367
2534.746903,1910.243446,8000,44187.195569
2724.908058,2377.167157,8000,44317.594951
2687.464853,2661.659982,8000,44470.789156
2353.824875,2729.683647,8000,44601.049874
2403.364101,-4152.904941,8000,44722.981944
-3466.526686,2473.311179,8000,44852.772257
-2419.206818,1538.966482,4886,44970.051247
593.84219,2527.193513,8000,45098.628854
2532.395072,-5445.5318,8000,45222.1408
-5167.8038,-2631.963443,8000,45346.586206
240.819417,175.928334,8000,45478.67133
2219.818895,-4963.925822,8000,45618.195279
-5939.392642,-1482.773646,8000,45755.792585
2227.015649,-4907.994707,8000,45886.590313
-6039.946349,-13446.776284,8000,46011.089853
-1791.747531,2719.796916,8000,46147.327999
-4256.228787,-5037.612666,8000,46286.639641
-5119.03071,2803.142475,8000,46414.70091
